category,totalestimate
Civilian employed population 16 years and over,876021
"Management, business, science, and arts occupations:",493953
"Management, business, and financial occupations:",182779
Management occupations,118648
Business and financial operations occupations,64131
"Computer, engineering, and science occupations:",152714
Computer and mathematical occupations,84761
Architecture and engineering occupations,42048
"Life, physical, and social science occupations",25905
"Education, legal, community service, arts, and media occupations:",110392
Community and social service occupations,16907
Legal occupations,12753
"Educational instruction, and library occupations",50822
"Arts, design, entertainment, sports, and media occupations",29910
Healthcare practitioners and technical occupations:,48068
Health diagnosing and treating practitioners and other technical occupations,36345
Health technologists and technicians,11723
Service occupations:,129924
Healthcare support occupations,30917
Protective service occupations:,16697
"Firefighting and prevention, and other protective service workers including supervisors",12792
Law enforcement workers including supervisors,3905
Food preparation and serving related occupations,37346
Building and grounds cleaning and maintenance occupations,25119
Personal care and service occupations,19845
Sales and office occupations:,128330
Sales and related occupations,56377
Office and administrative support occupations,71953
"Natural resources, construction, and maintenance occupations:",48208
"Farming, fishing, and forestry occupations",3059
Construction and extraction occupations,27040
"Installation, maintenance, and repair occupations",18109
"Production, transportation, and material moving occupations:",75606
Production occupations,25266
Transportation occupations,25847
Material moving occupations,24493
